"fips","CountyNamew/StateAbbrev","CensusRegionName","CensusDivisionName","tot_deaths","tot_cases","rate_cases","rate_deaths","PopSize","PopDensity","logPopDensity","Pop2029","Pop6099","Male","logBlack","logAsian","logHispanic","logAmInd","logNHPI","WBSeg","WNWSeg","RuralCont","EconArea","State","CountyI","HouseholdSize","noHealthInsurance","Poverty","noHighSchool","PercentEduHealthSoc","SES","Household","Minority","HousingType","SVI","Smoking","Obesity","Asthma","Cancer","COPD","Diabetes","HF","HTN","KD","Stroke","NursingHomeBeds","ICUBeds"
"01001","Autauga, AL","South","East South Central",30,2283,4086.34484239918,53.6970412930248,55869,93.9859363434493,4.54314515770925,0.124881419033811,0.220050475218815,48.4920080903542,3.04989473188337,0.776649421575427,1.38402308372646,0.389412800532831,0.0987717089147413,24.61913786,23.6283952,"1","114","Alabama","1",2.68,11.1,13.4,12.3,17.6,0.3631,0.581,0.5947,0.3741,0.4354,18.08155718,33.3,4.5463,8.4762,13.8316,30.418,15.8544,63.7064,25.5635,4.0647,0,6
"01003","Baldwin, AL","South","East South Central",83,7226,3236.96211150631,37.1807161991453,223234,140.418171067695,4.94462490677629,0.106206939803077,0.282116523468647,48.4903733302275,2.28002131740222,0.725684957750938,1.74376165705659,0.576808333917485,0.0667104487611347,41.27176277,31.82534323,"1","112","Alabama","2",2.46,14.3,10.1,9.8,20,0.2232,0.199,0.4358,0.3359,0.2162,17.489032597,31,4.889,8.5693,11.5988,23.771,12.8695,60.3339,21.7487,3.874,0,51
"01005","Barbour, AL","South","East South Central",9,1095,4435.71254962327,36.4579113667666,24686,27.8975680318235,3.32853951770988,0.1325447622134,0.259296767398525,52.9206837883821,3.89649843769931,0.385195710626235,1.70925281952366,0.523929059697742,0.191153861997464,25.03913235,23.44971251,"0","048","Alabama","3",2.47,16.1,33.4,26.9,18.3,0.978,0.9153,0.8558,0.9889,0.9959,21.999984528,41.7,5.5134,8.3313,10.6346,33.7907,13.7711,67.2384,28.2774,4.5822,0,5
"01007","Bibb, AL","South","East South Central",16,926,4135.03617040279,71.4477092078235,22394,35.9696745799737,3.58267621068228,0.136599089041708,0.2287666339198,53.2687326962579,3.10319961536037,0.194203294895489,1.3302516950582,0.378398508991011,0.109842730225586,52.60379424,52.6002055,"2","019","Alabama","4",2.6,13,20.2,17.9,24.6,0.7694,0.1203,0.4323,0.7189,0.6003,19.114199885,37.6,4.9055,7.1557,13.6814,32.8083,17.3717,67.9118,29.523,5.5356,131,0
"01009","Blount, AL","South","East South Central",26,2297,3972.26161242348,44.9624736277799,57826,89.6833028319737,4.49628460716661,0.117300176391243,0.250302632034033,49.2373672742365,0.990017191375019,0.277575138876009,2.36585066890888,0.494605131735393,0.109629741827509,48.21482288,17.69449474,"2","019","Alabama","5",2.63,17.1,12.8,20.2,20.2,0.6143,0.3187,0.5915,0.1741,0.4242,19.20867197,33.8,5.3258,6.735,14.9524,28.4956,16.2518,63.7811,24.5608,4.429,0,6
"01011","Bullock, AL","South","East South Central",17,664,6573.60657360657,168.300168300168,10101,16.218689788054,2.78616426786934,0.134937134937135,0.238194238194238,54.5292545292545,4.26634035607172,0.18888348674615,2.2569189421385,0.605190355830419,0.566620206648249,31.84648148,30.61876043,"0","114","Alabama","6",2.46,15.2,34.4,28.6,16.8,0.9771,0.4438,0.6749,0.765,0.8898,22.894664011,37.2,4.0909,8.0909,11.1818,37.6364,17.0909,70,25,2.8182,0,0
"01013","Butler, AL","South","East South Central",41,1052,5409.29658576717,210.818593171534,19448,25.0350784598947,3.22027797978517,0.114819004524887,0.281262854792267,46.4006581653641,3.82812707255655,0.889780343077826,0.91068061898339,0.33355914182769,0.0403117862290008,38.01121561,37.51184805,"0","114","Alabama","7",2.43,14.5,21.3,18.9,20.1,0.8455,0.9077,0.6447,0.6259,0.8653,21.765334963,43.3,4.6827,7.1368,16.615,37.0099,18.2511,70.6065,26.9394,4.6262,0,7
"01015","Calhoun, AL","South","East South Central",67,5181,4560.5387086836,58.9762774525769,113605,187.507221021011,5.23381735678095,0.132943092293473,0.250147440693631,47.9565159984156,3.10518392057493,0.642574036161432,1.62165121700875,0.426931046085729,0.105972097451752,44.54230412,40.68118287,"1","019","Alabama","8",2.44,15.4,17.7,16.8,22.3,0.7866,0.8303,0.6507,0.6492,0.8252,20.612560375,38.5,5.5784,7.2719,17.4386,30.6136,17.0003,65.8262,27.8217,3.8686,0,24
"01017","Chambers, AL","South","East South Central",48,1485,4465.62819510435,144.343537619534,33254,55.745729468761,4.02080080594899,0.127924460215312,0.273711433211042,47.7987610513021,3.71821138003699,0.753619664036339,1.28626233945243,0.283508462554329,0.044119612681875,26.7478613,25.67284445,"0","011","Alabama","9",2.42,15.2,18.2,19.1,19.1,0.6901,0.6609,0.4597,0.7943,0.7382,19.392927053,40.1,4.0444,7.0613,14.6445,35.0946,17.2048,67.0254,28.2779,3.4573,0,0
"01019","Cherokee, AL","South","East South Central",15,840,3206.59642693541,57.2606504809895,26196,47.3108181325628,3.85673898250902,0.10765002290426,0.318979996946099,49.343411207818,1.62846478748879,0.331595938186225,0.998424349080366,0.525287652164859,0.030081979525353,32.05770923,29.49378943,"0","011","Alabama","10",2.42,13.9,17.2,20.5,22.8,0.6879,0.4492,0.2751,0.2741,0.4516,17.498673785,35,4.6653,7.1219,19.7431,29.1413,18.8641,64.1875,30.9218,3.313,0,0
"01021","Chilton, AL","South","East South Central",35,2011,4526.42477716755,78.7791482848654,44428,64.1235476654398,4.16081165474229,0.123593229494913,0.236607544791573,49.0681552174304,2.4287619207789,0.397722356464503,2.21746589819551,0.446420343053762,0.159832331114761,37.87295478,33.22441623,"2","019","Alabama","11",2.61,17.5,16.8,18.2,16.6,0.7685,0.8513,0.6966,0.3636,0.7602,20.188979064,37.7,5.0723,7.472,13.9351,29.3428,17.2893,65.3941,30.4609,3.7088,0,6
