"fips","state","county","stateName","CountyNamew.StateAbbrev","CensusRegionName","CensusDivisionName","tot_deaths","tot_cases","rate_cases","rate_deaths","PopSize","PopDensity","logPopDensity","Pop2029","Pop6099","Male","logWhite","logBlack","logAsian","logHispanic","logAmInd","logNHPI","WBSeg","WNWSeg","RuralCont","EconArea","State","CountyI","HouseholdSize","noHealthInsurance","Poverty","noHighSchool","PercentEduHealthSoc","SES","Household","Minority","HousingType","SVI","Smoking","Obesity","Asthma","Cancer","COPD","Diabetes","HF","HTN","KD","Stroke","NursingHomeBeds","ICUBeds"
1001,"AL","Autauga County","Alabama","Autauga, AL","South","East South Central",44,3780,6765.82720292112,78.755660563103,55869,93.9859363434493,4.54314515770925,0.124881419033811,0.220050475218815,48.4920080903542,4.34720648810351,3.04989473188337,0.776649421575427,1.38402308372646,0.389412800532831,0.0987717089147413,24.61913786,23.6283952,1,114,"Alabama",1,2.68,11.1,13.4,12.3,17.6,0.3631,0.581,0.5947,0.3741,0.4354,18.08155718,33.3,4.5463,8.4762,13.8316,30.418,15.8544,63.7064,25.5635,4.0647,0,1.94591014905531
1003,"AL","Baldwin County","Alabama","Baldwin, AL","South","East South Central",147,11952,5354.02313267692,65.8501841117393,223234,140.418171067695,4.94462490677629,0.106206939803077,0.282116523468647,48.4903733302275,4.48233545059685,2.28002131740222,0.725684957750938,1.74376165705659,0.576808333917485,0.0667104487611347,41.27176277,31.82534323,1,112,"Alabama",2,2.46,14.3,10.1,9.8,20,0.2232,0.199,0.4358,0.3359,0.2162,17.489032597,31,4.889,8.5693,11.5988,23.771,12.8695,60.3339,21.7487,3.874,0,3.95124371858143
1005,"AL","Barbour County","Alabama","Barbour, AL","South","East South Central",32,1336,5411.97439844446,129.628129304059,24686,27.8975680318235,3.32853951770988,0.1325447622134,0.259296767398525,52.9206837883821,3.91508563639216,3.89649843769931,0.385195710626235,1.70925281952366,0.523929059697742,0.191153861997464,25.03913235,23.44971251,0,48,"Alabama",3,2.47,16.1,33.4,26.9,18.3,0.978,0.9153,0.8558,0.9889,0.9959,21.999984528,41.7,5.5134,8.3313,10.6346,33.7907,13.7711,67.2384,28.2774,4.5822,0,1.79175946922805
1007,"AL","Bibb County","Alabama","Bibb, AL","South","East South Central",42,1628,7269.80441189604,187.550236670537,22394,35.9696745799737,3.58267621068228,0.136599089041708,0.2287666339198,53.2687326962579,4.35370557865634,3.10319961536037,0.194203294895489,1.3302516950582,0.378398508991011,0.109842730225586,52.60379424,52.6002055,2,19,"Alabama",4,2.6,13,20.2,17.9,24.6,0.7694,0.1203,0.4323,0.7189,0.6003,19.114199885,37.6,4.9055,7.1557,13.6814,32.8083,17.3717,67.9118,29.523,5.5356,4.88280192258637,0
1009,"AL","Blount County","Alabama","Blount, AL","South","East South Central",54,4234,7321.96589769308,93.3835990730813,57826,89.6833028319737,4.49628460716661,0.117300176391243,0.250302632034033,49.2373672742365,4.57290943149836,0.990017191375019,0.277575138876009,2.36585066890888,0.494605131735393,0.109629741827509,48.21482288,17.69449474,2,19,"Alabama",5,2.63,17.1,12.8,20.2,20.2,0.6143,0.3187,0.5915,0.1741,0.4242,19.20867197,33.8,5.3258,6.735,14.9524,28.4956,16.2518,63.7811,24.5608,4.429,0,1.94591014905531
1011,"AL","Bullock County","Alabama","Bullock, AL","South","East South Central",20,754,7464.60746460746,198.000198000198,10101,16.218689788054,2.78616426786934,0.134937134937135,0.238194238194238,54.5292545292545,3.31858093719728,4.26634035607172,0.18888348674615,2.2569189421385,0.605190355830419,0.566620206648249,31.84648148,30.61876043,0,114,"Alabama",6,2.46,15.2,34.4,28.6,16.8,0.9771,0.4438,0.6749,0.765,0.8898,22.894664011,37.2,4.0909,8.0909,11.1818,37.6364,17.0909,70,25,2.8182,0,0
1013,"AL","Butler County","Alabama","Butler, AL","South","East South Central",45,1405,7224.39325380502,231.386260798025,19448,25.0350784598947,3.22027797978517,0.114819004524887,0.281262854792267,46.4006581653641,3.97165310959805,3.82812707255655,0.889780343077826,0.91068061898339,0.33355914182769,0.0403117862290008,38.01121561,37.51184805,0,114,"Alabama",7,2.43,14.5,21.3,18.9,20.1,0.8455,0.9077,0.6447,0.6259,0.8653,21.765334963,43.3,4.6827,7.1368,16.615,37.0099,18.2511,70.6065,26.9394,4.6262,0,2.07944154167984
1015,"AL","Calhoun County","Alabama","Calhoun, AL","South","East South Central",140,8684,7644.02975221161,123.234012587474,113605,187.507221021011,5.23381735678095,0.132943092293473,0.250147440693631,47.9565159984156,4.33210199178817,3.10518392057493,0.642574036161432,1.62165121700875,0.426931046085729,0.105972097451752,44.54230412,40.68118287,1,19,"Alabama",8,2.44,15.4,17.7,16.8,22.3,0.7866,0.8303,0.6507,0.6492,0.8252,20.612560375,38.5,5.5784,7.2719,17.4386,30.6136,17.0003,65.8262,27.8217,3.8686,0,3.2188758248682
1017,"AL","Chambers County","Alabama","Chambers, AL","South","East South Central",60,2133,6414.26595296806,180.429422024418,33254,55.745729468761,4.02080080594899,0.127924460215312,0.273711433211042,47.7987610513021,4.06123181883902,3.71821138003699,0.753619664036339,1.28626233945243,0.283508462554329,0.044119612681875,26.7478613,25.67284445,0,11,"Alabama",9,2.42,15.2,18.2,19.1,19.1,0.6901,0.6609,0.4597,0.7943,0.7382,19.392927053,40.1,4.0444,7.0613,14.6445,35.0946,17.2048,67.0254,28.2779,3.4573,0,0
1019,"AL","Cherokee County","Alabama","Cherokee, AL","South","East South Central",23,1294,4939.68544816002,87.7996640708505,26196,47.3108181325628,3.85673898250902,0.10765002290426,0.318979996946099,49.343411207818,4.54519030207675,1.62846478748879,0.331595938186225,0.998424349080366,0.525287652164859,0.030081979525353,32.05770923,29.49378943,0,11,"Alabama",10,2.42,13.9,17.2,20.5,22.8,0.6879,0.4492,0.2751,0.2741,0.4516,17.498673785,35,4.6653,7.1219,19.7431,29.1413,18.8641,64.1875,30.9218,3.313,0,0
