"variable","season","estimate","lower","upper"
"RuralCont1","spring",0.836666571826959,0.7927426930322,0.883024162272844
"RuralCont1","summer",0.915638252998485,0.879994389280011,0.952725858900157
"RuralCont1","fall",1.03656041769034,1.00336874519152,1.07085007846969
"RuralCont0","spring",0.819415481440708,0.748910721108736,0.896557776914531
"RuralCont0","summer",0.751557509122651,0.708645143176544,0.797068455146282
"RuralCont0","fall",1.02252576665755,0.977789807374632,1.06930849104056
"scale(lognonWhite)","spring",1.51907457683093,1.46285022950313,1.57745989537007
"scale(lognonWhite)","summer",1.03502053578489,1.00946446204209,1.06122359902529
"scale(lognonWhite)","fall",0.938912005807764,0.920243625578495,0.957959099250248
"scale(WNWSeg)","spring",1.05791406351051,1.02239816674843,1.09466370556268
"scale(WNWSeg)","summer",1.0458434687228,1.02042799324885,1.07189195936082
"scale(WNWSeg)","fall",1.01902810129654,0.999574658800652,1.03886014125047
"scale(SES)","spring",1.27859878028254,1.23239004025215,1.32654012734921
"scale(SES)","summer",1.2570640986706,1.22378963908742,1.29124328045863
"scale(SES)","fall",1.08846474911125,1.06323604613905,1.11429208439654
"scale(Comorbidities)","spring",0.997158049631187,0.958933591558159,1.03690618901837
"scale(Comorbidities)","summer",1.05620282503719,1.02582007826978,1.08748544822611
"scale(Comorbidities)","fall",1.08427017262953,1.05814542316069,1.11103992090465
