"variable","season","estimate","lower","upper"
"RuralCont1","spring",0.739756826917925,0.694251386599931,0.788244969378836
"RuralCont1","summer",0.877971289900381,0.826342029851751,0.932826309255538
"RuralCont1","fall",1.39585714352487,1.32169792329034,1.4741773674569
"RuralCont0","spring",0.764684143772274,0.688920030380887,0.848780430166105
"RuralCont0","summer",0.765063096429711,0.703457185838477,0.832064201350008
"RuralCont0","fall",1.78473037289857,1.66427476895705,1.9139042202405
"scale(lognonWhite)","spring",1.86881805489542,1.78789316076141,1.95340582924752
"scale(lognonWhite)","summer",1.01734385322839,0.981640378778462,1.05434590719416
"scale(lognonWhite)","fall",0.824156405007792,0.79894302108042,0.850165483637158
"scale(WNWSeg)","spring",1.11544023617418,1.07314740625744,1.15939983008991
"scale(WNWSeg)","summer",1.05079505050918,1.01435290786131,1.08854643153994
"scale(WNWSeg)","fall",1.03299899285,1.0027307433929,1.06418091422874
"scale(SES)","spring",1.15236496296067,1.10132347350792,1.20577200050917
"scale(SES)","summer",1.43520167977856,1.38162623248489,1.49085462711184
"scale(SES)","fall",1.07157022881005,1.03369111432996,1.11083740524976
"scale(Comorbidities)","spring",1.14709842480612,1.09461120152303,1.20210243999134
"scale(Comorbidities)","summer",1.2265655807282,1.17452454018485,1.28091246487735
"scale(Comorbidities)","fall",1.20510705491847,1.15973120888509,1.25225828423677
