"variable","season","estimate","lower","upper"
"scale(Pop2029)","spring",0.997900965021564,0.948637361743445,1.04972287214245
"scale(Pop2029)","summer",0.853118925651282,0.81720960395586,0.89060615267036
"scale(Pop2029)","fall",0.956054132545172,0.92379511005892,0.989439643492378
"scale(Pop6099)","spring",1.19362074168383,1.12313662150016,1.26852819835477
"scale(Pop6099)","summer",1.0713770269608,1.01711852013184,1.12852997087358
"scale(Pop6099)","fall",1.09921901284423,1.05094263707623,1.14971302483239
"scale(Male)","spring",0.765399352625774,0.727796523477314,0.804944995066626
"scale(Male)","summer",0.927248058346351,0.894375795883227,0.961328521707151
"scale(Male)","fall",0.983587970162692,0.955000049774006,1.01303166976557
"RuralCont1","spring",1.01457746854037,0.951340719037293,1.08201764002223
"RuralCont1","summer",0.947501489209719,0.890322455554217,1.00835272260519
"RuralCont1","fall",1.17079335831397,1.11094739769725,1.23386317904284
"RuralCont0","spring",0.892863231880034,0.790563427453193,1.00840074706145
"RuralCont0","summer",0.94323160317086,0.854607073664026,1.04104668055911
"RuralCont0","fall",1.25291480571148,1.1605904749757,1.35258348592246
"scale(logBlack)","spring",1.19558663444598,1.13317098788383,1.2614401672384
"scale(logBlack)","summer",1.00032313141686,0.957297279450689,1.0452827859511
"scale(logBlack)","fall",0.938868767607855,0.904556356420143,0.974482746744495
"scale(logHispanic)","spring",0.790311168031469,0.753833788296211,0.828553657334657
"scale(logHispanic)","summer",0.992639914172735,0.95014262638803,1.03703798971172
"scale(logHispanic)","fall",0.948522851862428,0.914162838997656,0.984174331010561
"scale(logAmInd)","spring",1.08394998265181,1.03135610417612,1.13922587953212
"scale(logAmInd)","summer",1.08678027170874,1.04285875476797,1.13255160737287
"scale(logAmInd)","fall",1.00759286290571,0.972277484304561,1.04419097815959
"scale(logAsian)","spring",0.952244348786843,0.921441174331387,0.984077253172938
"scale(logAsian)","summer",1.01574563795956,0.984345578132202,1.04814734170046
"scale(logAsian)","fall",0.971903213513102,0.945380772242956,0.999169735804971
"scale(logNHPI)","spring",0.972914117489062,0.938726499694385,1.00834681914028
"scale(logNHPI)","summer",1.01135173123892,0.983279969723468,1.04022491637618
"scale(logNHPI)","fall",1.03166021507512,1.00582178147062,1.05816240906286
"scale(WBSeg)","spring",0.999825016115428,0.947129437536116,1.0554524262816
"scale(WBSeg)","summer",0.972860124133329,0.932341936718017,1.0151391714293
"scale(WBSeg)","fall",0.972418740589328,0.947330933842612,0.998170938231429
"scale(WNWSeg)","spring",0.936322470557358,0.892972981692055,0.981776365965088
"scale(WNWSeg)","summer",1.04107034502061,1.00138102396033,1.08233273584009
"scale(WNWSeg)","fall",1.02336126354135,0.994739041825776,1.05280704957026
"scale(HouseholdSize)","spring",1.06374340075596,1.02099536211336,1.10828125635132
"scale(HouseholdSize)","summer",0.932917852561725,0.89675494000303,0.97053908576789
"scale(HouseholdSize)","fall",0.938805842205461,0.906353718265833,0.972419919063655
"scale(noHealthInsurance)","spring",0.910869464657139,0.85551315242251,0.96980762866756
"scale(noHealthInsurance)","summer",1.0393055983142,0.981506394200501,1.10050849700993
"scale(noHealthInsurance)","fall",0.996900471958472,0.942581610217986,1.05434960773443
"scale(Poverty)","spring",1.10195175573533,1.03520317066956,1.17300420475218
"scale(Poverty)","summer",1.03894412065743,0.983072966776902,1.09799060937212
"scale(Poverty)","fall",1.01266793509785,0.965576718638599,1.06205579212932
"scale(noHighSchool)","spring",0.977601999367156,0.919588238291041,1.03927565552898
"scale(noHighSchool)","summer",1.04472744196958,0.990761324667293,1.10163305816445
"scale(noHighSchool)","fall",1.03989856268728,0.992218244325508,1.08987012369862
"scale(PercentEduHealthSoc)","spring",0.8808478215252,0.848869869441492,0.914030421643054
"scale(PercentEduHealthSoc)","summer",1.04434301650612,1.01110462611297,1.0786740639472
"scale(PercentEduHealthSoc)","fall",1.0287999706503,1.00157504055407,1.05676493198605
"scale(Smoking)","spring",0.965267053721575,0.91013282128775,1.02374122019027
"scale(Smoking)","summer",0.952488801088541,0.902961518574458,1.00473264644918
"scale(Smoking)","fall",0.969725134583017,0.92523285080483,1.01635694822558
"scale(Obesity)","spring",0.894123785474661,0.859074293510603,0.930603266551673
"scale(Obesity)","summer",1.00046869094517,0.967745776958921,1.03429808260897
"scale(Obesity)","fall",1.05137307438323,1.02313861665937,1.08038668811781
"scale(Asthma)","spring",0.973004475352868,0.940866847697195,1.00623984294258
"scale(Asthma)","summer",0.966928275414414,0.9381885546026,0.996548385939242
"scale(Asthma)","fall",0.995305164886686,0.971840956959154,1.01933589457863
"scale(Cancer)","spring",0.953026120604533,0.914216785305998,0.99348294753801
"scale(Cancer)","summer",0.958257812218956,0.923500763889384,0.994322983352342
"scale(Cancer)","fall",0.992963217622278,0.963758806342859,1.0230525989093
"scale(COPD)","spring",1.03599028441372,0.983343039534525,1.09145621237901
"scale(COPD)","summer",0.967009127775215,0.926026407065641,1.00980560172546
"scale(COPD)","fall",1.02385189321626,0.987267395260675,1.06179207808816
