"variable","season","estimate","lower","upper"
"pop2029","spring",0.960903387020985,0.935804415875118,0.986675531259321
"pop2029","summer",0.860064506691363,0.840407615127421,0.880181167275721
"pop2029","fall",0.845063579529819,0.82754224466059,0.862955889026121
"pop6099","spring",1.11422619126208,1.08361790977879,1.14569904584527
"pop6099","summer",1.14917754399938,1.12293820585059,1.17603000837622
"pop6099","fall",1.30454692439358,1.27856560032554,1.33105620666741
"male","spring",0.673990646459266,0.646094031655479,0.703091762588528
"male","summer",0.879486280131938,0.85279794081693,0.90700983189447
"male","fall",1.07048554844089,1.04441649825437,1.0972052924634
"metro/near metro","spring",0.94063656302493,0.889050586268442,0.995215747411019
"metro/near metro","summer",1.01140228849925,0.958571369888778,1.06714494226988
"metro/near metro","fall",1.41810130421479,1.34950389984701,1.49018562246738
"nonmetro","spring",0.829014435812972,0.760394831949841,0.903826414790303
"nonmetro","summer",1.16980580801213,1.09288112118259,1.25214499723275
"nonmetro","fall",1.90876366090831,1.8042763451904,2.0193019339394
"black","spring",1.13955037496917,1.10431859764478,1.1759061740533
"black","summer",0.983875693896128,0.956495951444243,1.01203918278792
"black","fall",0.810479040574927,0.789653682113204,0.831853621518458
"hispanic","spring",0.836368116797237,0.811502520723967,0.861995630242651
"hispanic","summer",0.942486092442273,0.915466324020311,0.970303342832081
"hispanic","fall",0.787426039208532,0.766130388153858,0.809313632262707
"amind","spring",0.937773396851186,0.900740389022225,0.976328978426783
"amind","summer",1.0834427965512,1.0448796268789,1.12342920964496
"amind","fall",1.06318705444611,1.02957204222622,1.09789958000184
"asian","spring",0.954746383746298,0.935787755335914,0.974089105226028
"asian","summer",0.921068216103214,0.90297063570817,0.939528513073086
"asian","fall",0.80293577232918,0.788623303161242,0.817507993869211
"nhpi","spring",0.899029351525849,0.868025718343614,0.931140354282723
"nhpi","summer",0.935278313137194,0.907503152225034,0.963903564279679
"nhpi","fall",0.927988852853061,0.901070787768039,0.955711052571851
"wbseg","spring",1.11253520344679,1.07188302447114,1.15472915481528
"wbseg","summer",1.00942653027421,0.976160055885637,1.04382668997552
"wbseg","fall",0.859190752520949,0.838551083322726,0.880338436022753
"wnwseg","spring",1.12324865110052,1.08615823722894,1.16160563806799
"wnwseg","summer",1.03179951857388,0.998936015301769,1.06574418203121
"wnwseg","fall",0.910057568634604,0.885271882122473,0.935537200440022
"household","spring",0.88778181370567,0.866576933132977,0.909505571417725
"household","summer",0.98244728446191,0.960787413909591,1.00459545241025
"household","fall",0.85470822643361,0.836362366712093,0.873456508098434
"noHealthInsurance","spring",0.985671085759087,0.945964696619535,1.02704413047694
"noHealthInsurance","summer",1.18130432280036,1.13768685775728,1.22659402589717
"noHealthInsurance","fall",1.06936317159509,1.02992953010667,1.11030663684871
"poverty","spring",1.09671778712401,1.06848477406592,1.12569681270907
"poverty","summer",1.11218269111643,1.08487206193322,1.14018083958653
"poverty","fall",1.09542424921813,1.06991570299627,1.12154096104455
"noHighSchool","spring",1.00780045545037,0.979692170957941,1.03671519290888
"noHighSchool","summer",1.15507186002026,1.12661167177978,1.18425100256859
"noHighSchool","fall",1.05161450196321,1.02567951308331,1.07820527429167
"percentedu","spring",1.003318243389,0.975764472646801,1.031650081281
"percentedu","summer",0.983123003533188,0.958363035759557,1.00852266209338
"percentedu","fall",1.03882089176349,1.01538939986631,1.06279309721609
"smoking","spring",1.06959491748924,1.03681208341336,1.10341430797417
"smoking","summer",1.04614940244238,1.01496209563808,1.07829501902977
"smoking","fall",1.17940852482215,1.14712989345987,1.21259543174116
"obesity","spring",0.98118354494934,0.955881746588468,1.00715507155074
"obesity","summer",1.05485477173972,1.02954365335044,1.08078815875454
"obesity","fall",1.18525970418018,1.15875025447981,1.21237562703618
"asthma","spring",1.02226967984243,0.994402116529448,1.05091821603559
"asthma","summer",1.00188808992527,0.975831265138334,1.02864068880987
"asthma","fall",0.886089131444876,0.865927653380421,0.90672003117078
"cancer","spring",1.03993875674656,1.01032235117773,1.07042333223937
"cancer","summer",0.977092634814203,0.951408326389206,1.00347031923873
"cancer","fall",0.894735487408836,0.87299961041396,0.917012542593369
"COPD","spring",1.04533796041384,1.01223197126725,1.07952671176166
"COPD","summer",1.09900184389313,1.06772387057468,1.13119607621998
"COPD","fall",1.20829401669185,1.17773370392188,1.23964732087701
"diabetes","spring",1.09903217048806,1.06971807704691,1.12914957471989
"diabetes","summer",1.20015091584989,1.16899133367937,1.23214105983303
"diabetes","fall",1.01426099683153,0.988210623367487,1.04099808822956
"HF","spring",1.15196633561624,1.11967039615298,1.18519382396156
"HF","summer",1.16290226252005,1.13241130548908,1.19421420964194
"HF","fall",1.08553783240908,1.05846941782727,1.11329847206194
"HTN","spring",1.11426955516949,1.06655040727354,1.16412373302783
"HTN","summer",1.32656708349758,1.27230798194107,1.38314012958913
"HTN","fall",1.09450247136304,1.05301781647812,1.13762145433242
"KD","spring",1.09639174847975,1.0619671668519,1.13193223261123
"KD","summer",1.13352036995916,1.10212028226442,1.16581506555024
"KD","fall",0.975476750528096,0.949897320308396,1.00174499967209
"stroke","spring",1.11188560759783,1.07449624924505,1.15057600736329
"stroke","summer",1.14740789329922,1.11116476373348,1.18483317377865
"stroke","fall",0.924589916948687,0.897250950445848,0.952761893535351
"ICU","spring",1.09204597997704,1.06874893642936,1.11585086238151
"ICU","summer",1.00042985299405,0.981186607358115,1.0200505013583
"ICU","fall",0.853873449138531,0.839317314280836,0.868682028522737
"nursing","spring",1.03083994457406,1.01223443767357,1.04978743241704
"nursing","summer",1.02162300036586,1.003188481575,1.04039627053723
"nursing","fall",0.944996486611196,0.928880521044038,0.961392062246902
