"term","estimate","p.value","conf.low","conf.high"
"scale(Pop2029)",1.09277439451587,1.65218102972569e-48,1.07986827723445,1.1058347601133
"scale(Pop6099)",0.877156442036081,3.81752230305247e-101,0.866665848434921,0.887774019473404
"scale(Male)",1.05763309888439,3.06302240357749e-18,1.0443798550197,1.07105452721959
"RuralCont1",1.07845834501195,0.000218413879461797,1.03612295186152,1.12252353819238
"RuralCont0",1.06483585436726,0.00149388747136138,1.02434291400272,1.10692950695125
"scale(logBlack)",1.08549278164682,7.63302502202125e-18,1.06539869291461,1.10596585751752
"scale(logHispanic)",1.18972035309896,3.3572763292454e-80,1.16855106554678,1.21127314013924
"scale(logAmInd)",1.044661486528,1.55428561673545e-06,1.02620474431247,1.06345018134373
"scale(logAsian)",1.02135032728917,0.00344249369520565,1.00699516041229,1.03591013349717
"scale(logNHPI)",1.05857639080301,5.15640284157465e-10,1.03974032192327,1.07775369631979
"scale(WBSeg)",1.04970242676309,4.73363491893107e-13,1.03599479324242,1.06359143109563
"scale(WNWSeg)",1.06682873700366,1.97623330489677e-21,1.05269425620392,1.08115300087318
"scale(HouseholdSize)",1.11461507976129,4.69594777764771e-58,1.09995412553784,1.12947144538758
"scale(noHealthInsurance)",1.15578143209634,1.06481595875349e-31,1.12812335043715,1.18411760403773
"scale(Poverty)",1.08613321964607,2.77335128647924e-30,1.07086096397932,1.10162328304044
"scale(noHighSchool)",1.16398494011317,4.73910857935696e-94,1.14726778693389,1.18094568351054
"scale(PercentEduHealthSoc)",1.03293852694486,8.77640411184847e-07,1.01968152260635,1.04636788722015
"scale(Smoking)",1.09399426035549,2.56343466603731e-22,1.07434843588345,1.11399933365807
"scale(Obesity)",1.04954398704222,6.31999472145144e-12,1.03516900653075,1.06411858719396
"scale(Asthma)",1.02824506468637,0.000105200914752791,1.01387252269226,1.04282135020716
"scale(Cancer)",0.969590177703662,2.9009783159109e-05,0.955655138508165,0.98372841291575
"scale(COPD)",1.02836092591397,0.000624881871381138,1.01201337854068,1.04497254322032
"scale(Diabetes)",1.16878324378356,2.8844040890242e-85,1.1506671433017,1.18718456410383
"scale(HF)",1.11371336912155,2.71068209207832e-47,1.09755635683684,1.1301082270935
"scale(HTN)",1.18340117174367,2.12131002874256e-48,1.15698384302639,1.21042168542395
"scale(KD)",1.12099028499343,1.00706480238858e-48,1.10401444518562,1.138227153213
"scale(Stroke)",1.05197743959634,1.96278433665095e-08,1.03353511310755,1.0707488496373
"scale(ICUBeds)",1.04746637171849,4.24904935174844e-12,1.03381514244023,1.06129786152221
"scale(NursingHomeBeds)",1.0217838673545,0.000623647318010786,1.0092464452752,1.03447703628148
