"term","estimate","p.value","conf.low","conf.high"
"scale(Pop2029)",0.947341192165853,1.4234013880515e-06,0.926737121365114,0.968403351591483
"scale(Pop6099)",1.0376915907069,0.00226618765238416,1.01333382692904,1.06263484826825
"scale(Male)",1.00081951593818,0.94623517923944,0.97727247316907,1.02493391657155
"RuralCont1",1.13763492111276,0.000151938436884177,1.06420502514545,1.2161314625989
"RuralCont0",1.36229077766718,3.14116035099695e-20,1.275582575099,1.45489300273093
"scale(logBlack)",1.07106292539857,5.12810568409598e-05,1.03606079159748,1.10724756642372
"scale(logHispanic)",1.07326216399193,4.3862354074007e-05,1.03747440918061,1.11028441999489
"scale(logAmInd)",1.10318176647525,4.7620743160953e-09,1.06750920643753,1.14004638324839
"scale(logAsian)",0.909450547758026,2.49567947338241e-14,0.887522681316592,0.931920182130349
"scale(logNHPI)",0.994418846388972,0.739074851370748,0.962202414232073,1.02771394815381
"scale(WBSeg)",0.969248616771865,0.0107059144522635,0.946276154182636,0.992778774950358
"scale(WNWSeg)",1.03914111969894,0.00309158609428255,1.01304286920727,1.06591171950517
"scale(HouseholdSize)",1.02855978715693,0.0273546170555903,1.0031503588888,1.05461282686297
"scale(noHealthInsurance)",1.3358963394335,2.6872233765743e-39,1.27931445595001,1.39498074254665
"scale(Poverty)",1.2136255705939,7.43344799145621e-54,1.18418216296298,1.24380105668372
"scale(noHighSchool)",1.29884727832747,9.94816725029791e-89,1.26594009066701,1.33260986428657
"scale(PercentEduHealthSoc)",1.01788577856077,0.143738300399038,0.993980224184527,1.04236626945599
"scale(Smoking)",1.18866445908054,6.81889026741984e-26,1.15100752283753,1.22755339843306
"scale(Obesity)",1.1117524553383,6.12984033937907e-17,1.08448910146834,1.13970119227318
"scale(Asthma)",0.991453593066194,0.506798474799945,0.966644110077008,1.01689982585789
"scale(Cancer)",0.936714435035765,1.39523236564313e-06,0.912169213744277,0.961920134535868
"scale(COPD)",1.11217666966889,3.86599455747821e-13,1.08070871964253,1.14456089978152
"scale(Diabetes)",1.30795436657371,1.77676903540006e-77,1.27153301703997,1.3454189565771
"scale(HF)",1.24933226834698,6.17574478468255e-61,1.21666790216938,1.28287358773086
"scale(HTN)",1.36383225148442,7.52160903239782e-49,1.30852002085262,1.42148257615276
"scale(KD)",1.18323352677547,6.22657311324321e-32,1.15051672120074,1.21688068768298
"scale(Stroke)",1.12653072268085,3.53566008825844e-13,1.09093184472507,1.16329124984307
"scale(ICUBeds)",0.982690071395542,0.13513911702761,0.960436968222218,1.00545877384006
"scale(NursingHomeBeds)",1.00271456643511,0.805543924292667,0.981304972222299,1.02459126388018
