"variable","season","estimate","lower","upper"
"pop2029","spring",1.07673073912406,1.04570124047603,1.10868098812513
"pop2029","summer",0.944131176720794,0.916158914723782,0.972957490813631
"pop2029","fall",0.831260269143473,0.808130995406398,0.855051518855538
"pop6099","spring",0.770985947947089,0.742772410729575,0.800271150819957
"pop6099","summer",1.00505443456821,0.974169950012802,1.03691806181453
"pop6099","fall",1.26996768460779,1.23649117573337,1.30435052962792
"male","spring",0.446972675476989,0.41327407138286,0.483419083018096
"male","summer",0.929854616788606,0.879506440928671,0.983085021469681
"male","fall",1.21465184396757,1.17059094337057,1.26037119149893
"metro/near metro","spring",0.58876563451371,0.55121150787529,0.628878329700547
"metro/near metro","summer",1.07678877880397,1.01020472686488,1.14776148173105
"metro/near metro","fall",1.79546564464499,1.69107585896978,1.90629939159817
"nonmetro","spring",0.526687316840962,0.477504831849577,0.580935544980031
"nonmetro","summer",1.15715655947552,1.06847088074542,1.25320336498366
"nonmetro","fall",2.63762811251545,2.46778179804334,2.81916418438937
"black","spring",1.99673850591265,1.91633376284062,2.08051683809208
"black","summer",1.09524424032404,1.0553137474567,1.13668560544569
"black","fall",0.764005838091911,0.738949979947388,0.789911274752428
"hispanic","spring",1.30619409855461,1.25837900242563,1.35582604271859
"hispanic","summer",1.22024064148617,1.17578626969451,1.2663757534109
"hispanic","fall",0.853987398082553,0.82456488198937,0.884459782381576
"amind","spring",1.17445753510011,1.12192150805489,1.22945365772054
"amind","summer",1.11382710687348,1.06479961347525,1.16511201573138
"amind","fall",1.14849429937344,1.10252346838668,1.1963819306481
"asian","spring",1.1836697891199,1.15611075545199,1.21188576705819
"asian","summer",0.938001042851168,0.916426954891573,0.960083017739234
"asian","fall",0.735211962072926,0.719380072878499,0.751392274479107
"nhpi","spring",1.02655700095051,0.986234027338025,1.0685286118599
"nhpi","summer",1.00222706863452,0.965093769747407,1.0407891218349
"nhpi","fall",0.941799150715315,0.906830353081623,0.978116399913063
"wbseg","spring",1.48417759761592,1.42283155185204,1.54816860674597
"wbseg","summer",1.06221511111219,1.02185114576607,1.10417348647117
"wbseg","fall",0.786381360059537,0.76338250080289,0.810073119044106
"wnwseg","spring",1.52730499729429,1.47031614996579,1.58650270883197
"wnwseg","summer",1.08532254709226,1.0461444843515,1.12596782647765
"wnwseg","fall",0.860162819055603,0.832674437026625,0.888558651959702
"household","spring",1.1541834140766,1.12157734397021,1.18773739545591
"household","summer",1.15494958019121,1.12338572066009,1.18740029203867
"household","fall",0.898234881000605,0.874214242535133,0.922915530529974
"noHealthInsurance","spring",1.3240108741659,1.2636746259651,1.38722797695706
"noHealthInsurance","summer",1.59785333651465,1.53065996668003,1.66799638103078
"noHealthInsurance","fall",1.33204427400165,1.27574658750728,1.39082633281231
