,spring,summer,fall
scale(Pop2029),"0.97 (0.92, 1.03)","0.88 (0.84, 0.92)","0.94 (0.91, 0.98)"
scale(Pop6099),"1.13 (1.06, 1.21)","1.05 (0.99, 1.12)","1.00 (0.95, 1.06)"
scale(Male),"0.80 (0.75, 0.85)","1.01 (0.97, 1.05)","1.04 (1.00, 1.07)"
RuralCont1,"0.90 (0.84, 0.97)","1.01 (0.94, 1.08)","1.23 (1.16, 1.31)"
RuralCont0,"0.91 (0.80, 1.05)","0.99 (0.89, 1.11)","1.35 (1.24, 1.47)"
scale(logBlack),"1.89 (1.78, 2.00)","1.00 (0.95, 1.05)","0.88 (0.84, 0.92)"
scale(logHispanic),"0.97 (0.92, 1.03)","1.10 (1.05, 1.16)","1.00 (0.96, 1.04)"
scale(logAmInd),"1.34 (1.26, 1.41)","1.03 (0.98, 1.08)","1.02 (0.98, 1.06)"
scale(logAsian),"0.96 (0.93, 1.00)","1.01 (0.97, 1.05)","0.89 (0.87, 0.92)"
scale(logNHPI),"0.91 (0.87, 0.95)","1.03 (1.00, 1.06)","1.03 (1.00, 1.06)"
scale(WBSeg),"1.07 (1.01, 1.13)","0.98 (0.94, 1.03)","0.96 (0.93, 0.99)"
scale(WNWSeg),"1.09 (1.03, 1.15)","1.09 (1.04, 1.14)","1.03 (1.00, 1.07)"
scale(HouseholdSize),"1.13 (1.08, 1.18)","0.99 (0.95, 1.04)","0.91 (0.88, 0.95)"
scale(noHealthInsurance),"0.72 (0.67, 0.77)","1.04 (0.97, 1.11)","0.99 (0.93, 1.06)"
scale(Poverty),"1.16 (1.08, 1.25)","1.07 (1.01, 1.14)","0.96 (0.91, 1.02)"
scale(noHighSchool),"1.20 (1.12, 1.29)","1.25 (1.18, 1.33)","1.15 (1.09, 1.22)"
scale(PercentEduHealthSoc),"0.82 (0.79, 0.86)","1.11 (1.07, 1.15)","1.06 (1.03, 1.09)"
scale(Smoking),"0.84 (0.79, 0.90)","0.97 (0.91, 1.03)","0.97 (0.92, 1.03)"
scale(Obesity),"0.81 (0.78, 0.85)","1.01 (0.97, 1.05)","1.04 (1.01, 1.07)"
scale(Asthma),"0.96 (0.93, 1.00)","0.98 (0.95, 1.02)","0.98 (0.96, 1.01)"
scale(Cancer),"1.01 (0.96, 1.05)","1.01 (0.97, 1.05)","0.94 (0.91, 0.97)"
scale(COPD),"0.93 (0.88, 0.99)","0.87 (0.82, 0.91)","0.98 (0.94, 1.02)"
scale(Diabetes),"1.25 (1.18, 1.32)","1.06 (1.00, 1.13)","0.99 (0.94, 1.05)"
scale(HF),"1.08 (1.03, 1.14)","1.02 (0.98, 1.06)","1.13 (1.09, 1.17)"
scale(HTN),"1.04 (0.95, 1.14)","1.37 (1.26, 1.49)","1.10 (1.02, 1.17)"
scale(KD),"0.92 (0.87, 0.97)","1.02 (0.97, 1.07)","1.06 (1.02, 1.10)"
scale(Stroke),"1.00 (0.95, 1.05)","1.06 (1.01, 1.11)","0.99 (0.95, 1.03)"
scale(ICUBeds),"0.99 (0.95, 1.04)","1.04 (1.00, 1.08)","1.08 (1.05, 1.12)"
scale(NursingHomeBeds),"0.96 (0.94, 0.98)","1.03 (1.01, 1.05)","1.00 (0.98, 1.02)"
