"","spring","summer","fall"
"pop2029","0.96 (0.94, 0.99)","0.86 (0.84, 0.88)","0.85 (0.83, 0.86)"
"pop6099","1.11 (1.08, 1.15)","1.15 (1.12, 1.18)","1.30 (1.28, 1.33)"
"male","0.67 (0.65, 0.70)","0.88 (0.85, 0.91)","1.07 (1.04, 1.10)"
"metro/near metro","0.94 (0.89, 1.00)","1.01 (0.96, 1.07)","1.42 (1.35, 1.49)"
"nonmetro","0.83 (0.76, 0.90)","1.17 (1.09, 1.25)","1.91 (1.80, 2.02)"
"black","1.14 (1.10, 1.18)","0.98 (0.96, 1.01)","0.81 (0.79, 0.83)"
"hispanic","0.84 (0.81, 0.86)","0.94 (0.92, 0.97)","0.79 (0.77, 0.81)"
"amind","0.94 (0.90, 0.98)","1.08 (1.04, 1.12)","1.06 (1.03, 1.10)"
"asian","0.95 (0.94, 0.97)","0.92 (0.90, 0.94)","0.80 (0.79, 0.82)"
"nhpi","0.90 (0.87, 0.93)","0.94 (0.91, 0.96)","0.93 (0.90, 0.96)"
"wbseg","1.11 (1.07, 1.15)","1.01 (0.98, 1.04)","0.86 (0.84, 0.88)"
"wnwseg","1.12 (1.09, 1.16)","1.03 (1.00, 1.07)","0.91 (0.89, 0.94)"
"household","0.89 (0.87, 0.91)","0.98 (0.96, 1.00)","0.85 (0.84, 0.87)"
"noHealthInsurance","0.99 (0.95, 1.03)","1.18 (1.14, 1.23)","1.07 (1.03, 1.11)"
"poverty","1.10 (1.07, 1.13)","1.11 (1.08, 1.14)","1.10 (1.07, 1.12)"
"noHighSchool","1.01 (0.98, 1.04)","1.16 (1.13, 1.18)","1.05 (1.03, 1.08)"
"percentedu","1.00 (0.98, 1.03)","0.98 (0.96, 1.01)","1.04 (1.02, 1.06)"
"smoking","1.07 (1.04, 1.10)","1.05 (1.01, 1.08)","1.18 (1.15, 1.21)"
"obesity","0.98 (0.96, 1.01)","1.05 (1.03, 1.08)","1.19 (1.16, 1.21)"
"asthma","1.02 (0.99, 1.05)","1.00 (0.98, 1.03)","0.89 (0.87, 0.91)"
"cancer","1.04 (1.01, 1.07)","0.98 (0.95, 1.00)","0.89 (0.87, 0.92)"
"COPD","1.05 (1.01, 1.08)","1.10 (1.07, 1.13)","1.21 (1.18, 1.24)"
"diabetes","1.10 (1.07, 1.13)","1.20 (1.17, 1.23)","1.01 (0.99, 1.04)"
"HF","1.15 (1.12, 1.19)","1.16 (1.13, 1.19)","1.09 (1.06, 1.11)"
"HTN","1.11 (1.07, 1.16)","1.33 (1.27, 1.38)","1.09 (1.05, 1.14)"
"KD","1.10 (1.06, 1.13)","1.13 (1.10, 1.17)","0.98 (0.95, 1.00)"
"stroke","1.11 (1.07, 1.15)","1.15 (1.11, 1.18)","0.92 (0.90, 0.95)"
"ICU","1.09 (1.07, 1.12)","1.00 (0.98, 1.02)","0.85 (0.84, 0.87)"
"nursing","1.03 (1.01, 1.05)","1.02 (1.00, 1.04)","0.94 (0.93, 0.96)"
